GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,h23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS1,CLASS2,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags
99.509476,-66.18239,-21.63755681965243,2.3695645,0.1206246,0.035951767,0.65076977,0.8615024,-0.4079027,0.0012335071,-0.77104783,-0.441135,-0.65951854,-1.0,3.0941988303915386,7.465577115892078,bcu,,4FGL J0014.3-0500,PowerLaw,0.05683157,0.21797799,3FGL J0014.3-0455,GALEXASC J001420.46-045929.1,0.9956731,0.8810071,0
118.074745,-4.4981065,-22.227617781407453,1.7209659,0.17107075,0.17607784,2.0137968,-0.9962467,0.9973335,5.025283E-4,-0.30460748,0.05819872,-0.3259488,-0.4858182,2.6919414829154693,9.16155823777451,bll,,4FGL J0014.7+5801,PowerLaw,0.09522893,0.2670285,3FGL J0014.7+5802,1RXS J001442.2+580201,0.9999288,0.9859474,0
118.5573,-1.257189,-20.958119686949,2.0499325,0.106652595,0.1399983,2.553188,-0.8563634,-0.039780136,7.6969777E-4,-0.6148493,-0.39928746,-0.47377905,-0.75293636,1.8158574335054432,8.27441906500402,bcu,,4FGL J0014.8+6118,PowerLaw,0.060096458,0.2170094,3FGL J0014.6+6119,4C +60.01,0.9992715,0.9976481,0
114.00973,-30.021877,-21.77052915227707,2.6099987,0.08653521,0.14044356,2.2762253,0.9569795,-0.5808482,0.0035431685,-0.8015831,-0.7657342,-0.9989744,0.9801637,3.8390518022922397,6.345082611046253,bcu,,4FGL J0014.9+3212,PowerLaw,0.06683185,0.21111426,,3C 6,0.96470517,0.96670157,0
114.71823,-26.677507,-22.99999363000812,1.926888,0.16159168,-0.040807247,0.57051593,-0.04364697,0.045969866,4.3270626E-4,-0.7826726,-0.48458856,-0.30437365,-0.3447078,2.0008521950736053,8.611071437401595,bll,,4FGL J0015.2+3537,PowerLaw,0.06104151,0.27550164,,RX J0015.4+3536,0.99849707,0.91047436,0
117.8881,-6.6570644,-21.733959285494134,1.8762323,0.09850756,-0.0041418197,0.08676214,0.9997699,-0.41584232,2.2380576E-4,-0.5924068,-0.41114298,-0.43133068,-0.29123342,2.3379487619218247,8.647593361877345,bll,,4FGL J0015.6+5551,PowerLaw,0.042473245,0.13378055,3FGL J0015.7+5552,GB6 J0015+5551,0.99993026,0.98932874,0
112.76397,-37.48992,-22.11564740759064,2.2468426,0.09474082,-0.0690817,1.5943102,-0.60892814,-0.7739449,3.6072196E-4,-0.68970186,-0.40922195,-0.7135571,-0.23165438,2.8411947605831056,7.471825929266809,bll,,4FGL J0015.9+2440,PowerLaw,0.033436503,0.15244439,,GB6 J0016+2440,0.9978396,0.8603775,0
104.012276,-61.85269,-21.59833055992511,2.7406797,0.07610237,0.18483016,4.1252146,0.10687364,-0.6873954,0.0036195575,-0.7782242,-0.9594848,-0.5014087,-0.9917287,4.4083716008879925,5.919811819910513,fsrq,,4FGL J0016.2-0016,LogParabola,0.05438087,0.18022117,3FGL J0016.3-0013,S3 0013-00,0.997477,0.97896254,0
111.096794,-45.029816,-22.6134583390125,2.6018126,0.2814636,0.29727963,2.1405456,-0.7067928,-0.64665174,0.0066781626,-0.653852,-0.8680669,-0.9998937,0.9989445,2.7592837270369954,6.297824956990646,fsrq,,4FGL J0016.5+1702,PowerLaw,0.18108752,0.46576402,3FGL J0016.5+1713,GB6 J0015+1700,0.80752254,0.0,0
99.46171,-68.12262,-21.67043344083455,2.2981074,0.09126713,0.031068914,0.7001219,0.99347293,-0.5355643,7.6528784E-4,-0.6886256,-0.5284827,-0.72534674,-0.4279373,3.2764660121472473,7.145044151839484,bcu,,4FGL J0017.0-0649,PowerLaw,0.045736376,0.13169561,3FGL J0017.2-0643,PMN J0017-0650,0.9970226,0.9240779,0
320.38864,-69.86521,-23.030687205892708,2.7844908,0.1496063,0.019687874,0.2401689,0.996615,-0.83115613,0.0034535609,-0.7683185,-0.73014414,-0.9998222,-0.7415703,1.9216569317024284,6.184117240952092,,,4FGL J0017.1-4605,PowerLaw,0.086792774,0.25288075,,,0.0,0.0,16
