Source_Name_3FGL,Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,Category_3FGL,CLASS_3FGL,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
3FGL J2010.3+7228,-26.13476724,-27.55408433,2.1985214,1.411041484,4.390177079,-0.560263032,-0.630353442,-0.671386402,-0.872317449,20.141964,AGN,bll,719.64966,LogParabola,4C +72.28,0.981515088,0.018484912,0.740892708,0.259107292,0.743837572,0.256162428,0.927744954,0.072255046,308,4
3FGL J2012.1-1643,-25.47267401,-27.68941874,2.5498643,1.718547711,4.412315389,-0.283622334,-0.893525058,-0.998629854,-0.405896002,-25.160206,AGN,bll,515.8302,LogParabola,PMN J2012-1646,0.999495537,5.04E-04,0.823204612,0.176795388,0.807690596,0.192309404,0.863230836,0.136769164,306,2048
3FGL J2015.6+3709,-25.97047801,-26.16962652,2.5345602,1.981918428,6.111396605,-0.558358527,-0.680047985,-0.733519117,-0.770133752,1.1855597,AGN,FSRQ,1522.4413,LogParabola,MG2 J201534+3710,0.956101305,0.043898695,0.839963749,0.160036251,0.975881704,0.024118296,0.711718303,0.288281697,297,0
3FGL J2025.2+3340,-26.45209969,-26.36906326,2.7119672,1.550795066,5.630032054,-0.584198429,-0.798772323,-0.705597227,-0.931315713,-2.4135904,AGN,bcu,1242.3975,LogParabola,B2 2023+33,0.984331821,0.015668179,0.868508355,0.131491645,0.973901299,0.026098701,0.772912682,0.227087318,289,4
3FGL J2025.6-0736,-23.64894802,-26.8997815,2.181554,2.009210046,7.553745022,-0.489433759,-0.676472112,-0.715411423,-0.867365579,-24.391523,AGN,fsrq,496.426,LogParabola,PKS 2023-07,0.996983416,0.003016584,0.981042951,0.018957049,0.998820961,0.001179039,0.901413647,0.098586353,252,0
3FGL J2039.0-1047,-26.83354225,-27.2198132,1.8431824,1.451210608,4.659319526,0.044940994,-0.500393964,-0.580137957,-0.569324594,-28.741648,AGN,bll,1078.9177,LogParabola,TXS 2036-109,0.999751697,2.48E-04,0.922851086,0.077148914,0.927970132,0.072029868,0.953209491,0.046790509,310,0
3FGL J2056.2-4714,-22.93367393,-27.06049975,2.2647004,1.749059619,7.030467657,-0.540914868,-0.715298692,-0.741504577,-0.757280464,-40.380795,AGN,fsrq,368.92773,LogParabola,PKS 2052-47,0.999698536,3.01E-04,0.986157098,0.013842902,0.998956281,0.001043719,0.984470956,0.015529044,325,0
3FGL J2139.4-4235,-25.40242589,-26.99125319,1.9592105,1.435923221,5.485110909,-0.408173049,-0.516838724,-0.583260144,-0.678920584,-48.326622,AGN,bll,733.2263,LogParabola,MH 2136-428,0.999893922,1.06E-04,0.977413039,0.022586961,0.986977216,0.013022784,0.989568145,0.010431855,313,0
3FGL J2143.5+1744,-22.79727178,-27.08437727,2.4037237,1.348043953,6.08231039,-0.616149507,-0.737569463,-0.772338917,-0.775587553,-26.080494,AGN,fsrq,323.08032,LogParabola,OX 169,0.999387705,6.12E-04,0.982795184,0.017204816,0.997097416,0.002902584,0.987234084,0.012765916,294,0
3FGL J2147.2+0929,-23.61495014,-27.24957838,2.3770216,1.408113581,6.423552599,-0.544029099,-0.766999042,-0.763487956,-0.79660336,-32.27459,AGN,FSRQ,365.90442,LogParabola,PKS 2144+092,0.999485788,5.14E-04,0.985842684,0.014157316,0.998456129,0.001543871,0.987482681,0.012517319,284,0
