Source_Name,AGN_BDT_SMOTE,AGN_BDT_STD_SMOTE,AGN_NN_SMOTE,AGN_NN_STD_SMOTE,AGN_RF_SMOTE,AGN_RF_STD_SMOTE,AGN_LR_SMOTE,AGN_LR_STD_SMOTE,Source_Name_4FGL,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,diffBDT,diffNN,diffRF,diffLR
4FGL J0159.3-4523,0.9977264498420426,0.0047160171670907695,0.9782525999766924,0.02603558937354125,0.9297217637517737,0.02487180416683568,0.9760166151290373,0.01146645984036438,4FGL J0159.3-4523,0.997712463,0.00222249405,0.989060571,0.0124750366,0.962691555,0.0217995075,0.987616635,0.00421936525,-0.002965816609017226,0.4151229637340641,1.3255890496351108,1.0116478871820722
4FGL J0159.5+1046,0.9820748049939182,0.014850755412172678,0.9708462392881932,0.033470657670267946,0.9374783167356469,0.020634401975547893,0.9523918901721823,0.019663142404471007,4FGL J0159.5+1046,0.996004712,0.00271353545,0.989834701,0.0101758554,0.984261164,0.00899057536,0.976691589,0.00692519185,0.9379931605811699,0.5673166598299108,2.267225738831276,1.2357993614638327
4FGL J0159.7-2740,0.9617044898778421,0.019161318484189848,0.9640073267289978,0.038145517229131176,0.8084249793645892,0.0429403083264763,0.9453689493296992,0.017816090219714958,4FGL J0159.7-2740,0.989932109,0.00358737277,0.984730359,0.0147022282,0.971717565,0.00973468315,0.968167583,0.00700611486,1.4731564085972844,0.5432625843431053,3.80278093007374,1.2796653692891797
4FGL J0200.3-4109,0.964448294269992,0.018723665341991567,0.902476392551912,0.09535379884578013,0.8575652390436281,0.037179751433557215,0.7414378715702892,0.06944656274613266,4FGL J0200.3-4109,0.983213523,0.011329662,0.956892737,0.0426419002,0.963237475,0.0168630774,0.807011581,0.0397702653,1.0022198318148308,0.5706783065465267,2.8421985592134864,0.9442326133464759
4FGL J0200.6-6637,0.9955928839736549,0.0045585086793570335,0.9761969311450038,0.023101761383021748,0.9578637630308572,0.012970458130568291,0.9923448169518407,0.003935260912921006,4FGL J0200.6-6637,0.997136335,0.001735303,0.990586114,0.0103801611,0.98495053,0.00732276645,0.995731102,0.00178900842,0.3385868350617733,0.6228608553446153,2.0883431176039746,0.8604982294924325
4FGL J0201.1+0036,0.9964400606839009,0.0025393809305746824,0.9754908075484262,0.028849716510931725,0.9108736145960241,0.02481428968243562,0.9788744700205836,0.010451005723972579,4FGL J0201.1+0036,0.997631227,0.00111645241,0.989784901,0.0101732148,0.977218482,0.0074151271,0.976342714,0.00848473264,0.46907744393807294,0.4954673799362128,2.673655714228928,-0.24224998889592844
4FGL J0201.1-4347,0.9176781782395133,0.046876549613220436,0.9644568254667398,0.04046765644844331,0.8349315432309314,0.03687561833701522,0.9131435174269992,0.04075409948066376,4FGL J0201.1-4347,0.98599331,0.00695450075,0.983688879,0.0160203509,0.956000627,0.0170440869,0.945629359,0.0202128543,1.457341300163015,0.4752450529909546,3.2831743365653923,0.7971183755002144
4FGL J0202.4+0849,0.9635104457414726,0.02204727323600029,0.933871143852621,0.05205040765341524,0.8113382024963902,0.05121062958440569,0.7735422771218055,0.053924393237636974,4FGL J0202.4+0849,0.990798449,0.00548033949,0.976482024,0.0185755516,0.964204581,0.0129210184,0.88994435,0.0232422697,1.2377042261158044,0.8186464250406891,2.985051731333519,2.158616275295441
4FGL J0202.6-0258,0.9768591395900984,0.015566791255194992,0.9415418432526094,0.05563204737894002,0.8295796658368902,0.04107910379705314,0.9092822999687971,0.03121810825234503,4FGL J0202.6-0258,0.962313335,0.0249369278,0.976550409,0.0245152938,0.954678292,0.0176643182,0.952314739,0.0137614447,-0.5833037937455292,0.6292877468436192,3.045310500958004,1.3784448014389343
4FGL J0202.7+4204,0.9985176458156668,0.0011197204052577402,0.984788303673203,0.018249393927947413,0.9489534155359692,0.016376851080875585,0.9830102367771916,0.006065113989362503,4FGL J0202.7+4204,0.998256678,8.14163707E-4,0.993023594,0.0084380492,0.988922069,0.00396631801,0.987518095,0.00331843001,-0.23306516023238674,0.45126377124148076,2.4405579110812714,0.7432437759149568
4FGL J0202.9-0225,0.9947433123234635,0.004019974050067487,0.958152560696805,0.04335207018983512,0.8532697435124277,0.03791854669114354,0.8296183365235121,0.05186227766418167,4FGL J0202.9-0225,0.981904687,0.0122551165,0.981620395,0.0174870747,0.953242025,0.0221061964,0.910197572,0.0245639149,-1.04761348645388,0.5413313412815418,2.6365008738829743,1.5537157083276216
4FGL J0203.6+7233,0.8877952588518827,0.06321106365499558,0.7755862326744576,0.17806561985242864,0.8212731262405184,0.043450762326050246,0.6386275569197174,0.05721635476475797,4FGL J0203.6+7233,0.983132235,0.021333702,0.915122167,0.0880355756,0.939494867,0.0269451799,0.875325183,0.0242810469,1.508232430140144,0.7836208609005065,2.7208208655203157,4.136887556948575
4FGL J0203.7+3042,0.9706778898183079,0.016613869654511587,0.9788637979207717,0.027662609091274378,0.9371204469475728,0.021444566946074238,0.991763807651337,0.004381008860591146,4FGL J0203.7+3042,0.987784015,0.0113624034,0.990973942,0.0100484153,0.985950392,0.0109981633,0.994935739,0.0021509593,1.0296291915981666,0.4377802556248458,2.2770310622367824,0.72401847373461
4FGL J0204.0-3334,0.968895262568497,0.06355498689442396,0.9725421354524342,0.02950786626422559,0.8733980334943278,0.02907453817785031,0.9470175426776214,0.017227226481137017,4FGL J0204.0-3334,0.984501642,0.061481336,0.987263783,0.0116689909,0.973862714,0.00765004677,0.970191363,0.00736865462,0.24555711823885593,0.49890586515955027,3.4554179292934974,1.3451857934156026
4FGL J0204.1-2919,0.9586628408843183,0.032661758173801125,0.9460270889336121,0.0678243766420505,0.8061506974959576,0.048959751575499366,0.9451075581787425,0.026204701473902445,4FGL J0204.1-2919,0.987182539,0.0163771729,0.974068352,0.0431831488,0.955257395,0.0245804418,0.944341442,0.0176315231,0.8731831876263809,0.41343930390069444,3.0454953856150477,-0.02923582928450577
